ID,Data,Prodotto,Categoria,Prezzo,Quantità,Totale
1,2025-01-01,Laptop HP,Computer,799.99,3,2399.9700000000003
2,2025-01-08,Monitor Samsung,Monitor,199.99,2,399.98
3,2025-01-22,Laptop HP,Computer,799.99,5,3999.95
4,2025-01-19,Laptop HP,Computer,799.99,4,3199.96
5,2025-01-01,Mouse Logitech,Periferiche,25.99,1,25.99
6,2025-01-08,Monitor Samsung,Monitor,199.99,5,999.95
7,2025-01-01,Webcam Logitech,Periferiche,49.99,5,249.95000000000002
8,2025-01-23,Monitor Samsung,Monitor,199.99,5,999.95
9,2025-01-08,SSD Samsung 1TB,Storage,120.99,4,483.96
10,2025-01-09,Webcam Logitech,Periferiche,49.99,1,49.99
11,2025-01-23,Tastiera Razer,Periferiche,99.99,4,399.96
12,2025-01-09,Router TP-Link,Rete,59.99,2,119.98
13,2025-01-31,Monitor Samsung,Monitor,199.99,3,599.97
14,2025-01-03,Laptop HP,Computer,799.99,4,3199.96
15,2025-01-12,Laptop HP,Computer,799.99,3,2399.9700000000003
16,2025-01-09,Webcam Logitech,Periferiche,49.99,1,49.99
17,2025-01-18,Scheda Grafica Nvidia,Computer,499.99,1,499.99
18,2025-01-03,SSD Samsung 1TB,Storage,120.99,5,604.9499999999999
19,2025-01-27,Stampante Epson,Stampanti,150.0,5,750.0
20,2025-01-19,Router TP-Link,Rete,59.99,2,119.98
21,2025-01-02,Laptop HP,Computer,799.99,2,1599.98
22,2025-01-03,Stampante Epson,Stampanti,150.0,2,300.0
23,2025-01-13,Laptop HP,Computer,799.99,3,2399.9700000000003
24,2025-01-21,Scheda Grafica Nvidia,Computer,499.99,3,1499.97
25,2025-01-12,Tastiera Razer,Periferiche,99.99,3,299.96999999999997
26,2025-01-22,Monitor Samsung,Monitor,199.99,3,599.97
27,2025-01-20,Laptop HP,Computer,799.99,2,1599.98
28,2025-01-24,Cuffie Sony,Audio,89.99,2,179.98
29,2025-01-15,Tastiera Razer,Periferiche,99.99,4,399.96
30,2025-01-30,Stampante Epson,Stampanti,150.0,5,750.0
31,2025-01-22,Monitor Samsung,Monitor,199.99,3,599.97
32,2025-01-08,Mouse Logitech,Periferiche,25.99,1,25.99
33,2025-01-13,Router TP-Link,Rete,59.99,3,179.97
34,2025-01-07,Laptop HP,Computer,799.99,5,3999.95
35,2025-01-07,Router TP-Link,Rete,59.99,4,239.96
36,2025-01-29,SSD Samsung 1TB,Storage,120.99,4,483.96
37,2025-01-09,Tastiera Razer,Periferiche,99.99,2,199.98
38,2025-01-24,Monitor Samsung,Monitor,199.99,5,999.95
39,2025-01-09,Cuffie Sony,Audio,89.99,5,449.95
40,2025-01-29,SSD Samsung 1TB,Storage,120.99,5,604.9499999999999
41,2025-01-12,SSD Samsung 1TB,Storage,120.99,2,241.98
